"age","born","opwlth","oppared","opeduc","opclout","oprace","oprelig","opsex","yearsusa","ophrdwrk_essential","opknow_essential"
64,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,"Immigrant","Not Important At All","Fairly Important","Essential","Not Very Important","Not Important At All","Not Important At All","Not Very Important",28,1,0
63,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,"Native","Fairly Important","Fairly Important","Essential","Fairly Important","Not Very Important","Not Very Important","Not Very Important",NA,0,0
59,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,"Native","Very Important","Very Important","Very Important","Not Very Important","Not Important At All","Not Very Important","Not Very Important",NA,0,0
74,"Native","Not Very Important","Fairly Important","Very Important","Not Important At All","Not Important At All","Not Important At All","Not Very Important",NA,1,NA
80,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,"Immigrant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,"Native","Fairly Important","Fairly Important","Fairly Important","Not Very Important","Not Important At All","Not Important At All","Not Important At All",NA,0,0
67,"Native","Fairly Important","Essential","Essential","Not Very Important","Not Important At All","Not Important At All","Not Important At All",NA,1,0
73,"Native","Not Very Important","Fairly Important","Very Important","Not Very Important","Not Important At All","Not Important At All","Fairly Important",NA,0,0
22,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,"Native","Not Very Important","Fairly Important","Very Important","Not Very Important","Not Important At All","Not Important At All","Not Important At All",NA,1,0
59,"Native","Fairly Important","Not Very Important","Essential","Fairly Important","Fairly Important","Fairly Important","Fairly Important",NA,1,0
48,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,"Native","Fairly Important","Very Important","Very Important",NA,"Not Very Important","Not Very Important","Not Very Important",NA,0,0
32,"Native","Very Important","Very Important","Very Important","Fairly Important","Not Very Important","Not Very Important","Very Important",NA,1,0
67,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,"Immigrant","Not Important At All","Essential","Essential","Fairly Important","Not Important At All","Not Important At All","Not Important At All",40,1,1
41,"Native","Not Very Important","Very Important","Essential",NA,"Not Important At All","Not Important At All","Not Important At All",NA,1,0
51,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,"Native","Very Important","Very Important","Very Important","Fairly Important","Fairly Important","Not Very Important","Fairly Important",NA,0,1
89,"Native","Fairly Important","Fairly Important","Essential","Not Very Important","Not Important At All","Not Important At All","Not Important At All",NA,1,1
70,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,"Native","Fairly Important","Fairly Important","Essential","Fairly Important","Not Very Important","Not Very Important","Fairly Important",NA,1,0
79,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,"Native","Fairly Important","Very Important","Very Important","Very Important","Not Important At All","Not Important At All","Not Very Important",NA,0,0
NA,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,"Native","Not Important At All","Not Very Important","Very Important","Not Important At All","Fairly Important","Fairly Important","Not Important At All",NA,1,1
49,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,"Native","Fairly Important","Fairly Important","Very Important","Not Important At All","Not Important At All","Not Important At All","Not Important At All",NA,1,0
56,"Native","Not Very Important","Very Important","Essential","Not Very Important","Not Very Important","Not Very Important","Fairly Important",NA,0,0
44,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,"Native","Very Important","Fairly Important","Essential","Not Very Important","Not Very Important","Not Important At All","Not Very Important",NA,0,0
65,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,"Native",NA,"Essential","Essential",NA,"Not Important At All","Not Important At All","Not Important At All",NA,1,NA
43,"Native","Fairly Important","Very Important","Fairly Important","Very Important","Very Important","Very Important","Very Important",NA,0,0
26,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,"Immigrant","Not Very Important","Fairly Important","Fairly Important","Not Very Important","Fairly Important","Very Important","Fairly Important",9,1,0
64,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,"Native","Not Important At All","Not Important At All","Essential",NA,"Not Important At All","Not Important At All","Not Important At All",NA,1,0
47,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,"Native","Fairly Important","Very Important","Very Important","Not Very Important","Not Important At All","Not Important At All","Fairly Important",NA,0,1
30,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"Immigrant","Essential","Not Very Important","Essential","Fairly Important","Not Important At All","Not Important At All","Not Important At All",3,1,1
26,"Native","Not Important At All","Fairly Important","Very Important","Very Important","Not Important At All","Not Very Important","Not Important At All",NA,1,0
45,"Native","Fairly Important","Very Important","Very Important","Not Very Important","Not Important At All","Not Important At All","Fairly Important",NA,1,0
45,"Native","Fairly Important","Fairly Important","Essential","Fairly Important","Fairly Important","Not Very Important","Fairly Important",NA,1,0
79,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,"Native","Very Important","Fairly Important","Fairly Important","Essential","Fairly Important","Not Very Important","Fairly Important",NA,0,0
NA,"Immigrant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"Native","Very Important","Very Important","Essential","Not Very Important","Fairly Important","Not Important At All","Not Very Important",NA,0,1
36,"Native","Fairly Important","Very Important","Essential","Not Very Important","Fairly Important","Not Very Important","Not Very Important",NA,0,0
37,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,"Native","Not Very Important","Not Very Important","Essential","Not Important At All","Not Important At All","Not Important At All","Not Very Important",NA,1,0
65,"Native","Very Important","Very Important","Essential","Not Very Important","Fairly Important","Not Important At All","Not Very Important",NA,0,0
65,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,"Native","Fairly Important","Very Important","Very Important","Fairly Important","Not Very Important","Not Very Important","Not Very Important",NA,0,0
NA,"Native","Not Very Important","Not Very Important","Very Important",NA,"Not Important At All","Not Important At All","Not Important At All",NA,1,0
49,"Native","Not Very Important","Fairly Important","Fairly Important","Not Very Important","Not Important At All","Not Important At All","Not Important At All",NA,0,0
22,"Native","Very Important","Very Important","Essential","Fairly Important","Not Important At All","Not Important At All","Not Very Important",NA,0,0
50,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,"Native","Very Important","Very Important","Very Important","Very Important","Very Important","Fairly Important","Not Very Important",NA,0,0
NA,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,"Immigrant",NA,NA,NA,NA,NA,NA,NA,20,NA,NA
18,"Native",NA,"Essential","Essential","Fairly Important","Not Very Important","Not Very Important","Not Very Important",NA,0,0
42,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,"Native","Very Important","Fairly Important","Fairly Important","Very Important","Fairly Important","Fairly Important","Fairly Important",NA,0,0
44,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,"Native","Not Important At All","Fairly Important","Fairly Important","Not Important At All","Not Important At All","Not Very Important","Not Very Important",NA,0,0
29,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,"Native","Not Very Important","Not Very Important","Very Important","Not Very Important","Very Important","Not Very Important","Not Very Important",NA,0,0
44,"Native","Not Very Important","Fairly Important","Very Important","Not Important At All","Not Important At All","Not Important At All","Not Very Important",NA,0,0
64,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,"Native","Not Very Important","Not Very Important","Fairly Important","Not Important At All","Not Important At All","Not Important At All","Not Very Important",NA,0,0
30,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,"Native","Not Very Important","Fairly Important","Very Important","Not Important At All","Not Important At All","Not Important At All","Not Important At All",NA,1,0
61,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Native","Very Important","Fairly Important","Fairly Important","Not Very Important","Fairly Important","Not Very Important","Fairly Important",NA,0,0
62,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,"Native","Not Very Important","Fairly Important","Essential","Not Very Important","Fairly Important","Not Important At All",NA,NA,1,1
66,"Native","Not Very Important","Very Important","Very Important","Not Important At All","Not Important At All","Not Important At All","Not Very Important",NA,0,0
69,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,"Native","Fairly Important","Fairly Important","Very Important","Fairly Important","Fairly Important","Not Important At All","Fairly Important",NA,0,0
47,"Immigrant","Not Important At All","Not Important At All","Very Important","Not Important At All","Not Important At All","Very Important","Not Important At All",45,0,0
37,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,"Immigrant","Not Very Important","Fairly Important","Very Important","Fairly Important","Not Important At All","Not Important At All","Not Important At All",50,0,0
47,"Native","Very Important","Very Important","Fairly Important","Not Very Important","Essential","Not Very Important","Very Important",NA,1,0
59,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,"Native","Not Very Important","Not Very Important","Fairly Important","Fairly Important","Not Important At All","Not Important At All","Not Important At All",NA,1,0
NA,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Immigrant","Very Important","Very Important","Very Important","Not Very Important","Not Important At All","Not Important At All","Not Important At All",42,0,0
58,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,"Native","Very Important","Very Important","Very Important","Not Important At All","Not Very Important","Not Important At All","Not Very Important",NA,1,0
57,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,"Immigrant",NA,NA,NA,NA,NA,NA,NA,9,NA,NA
46,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,"Native","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important",NA,NA,1,0
35,"Native","Not Very Important","Fairly Important","Essential","Not Very Important","Not Important At All","Not Important At All","Not Very Important",NA,1,0
28,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,"Native","Not Very Important","Not Very Important","Very Important","Not Important At All","Not Important At All","Not Important At All","Not Important At All",NA,0,0
57,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,"Native","Very Important","Very Important","Very Important","Very Important","Fairly Important","Fairly Important","Very Important",NA,0,0
NA,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,"Native",NA,"Fairly Important","Fairly Important",NA,NA,"Not Important At All",NA,NA,0,0
41,"Native","Very Important","Very Important","Fairly Important","Not Very Important","Very Important","Not Very Important","Fairly Important",NA,0,0
42,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"Native","Fairly Important","Not Very Important","Fairly Important","Fairly Important","Not Very Important","Fairly Important","Not Very Important",NA,1,0
43,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Native","Not Very Important","Not Very Important","Very Important","Fairly Important","Fairly Important","Not Very Important","Not Very Important",NA,0,0
59,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,"Native","Not Very Important","Fairly Important","Essential","Not Very Important","Not Very Important","Not Very Important","Not Very Important",NA,1,0
32,"Immigrant",NA,NA,NA,NA,NA,NA,NA,3,NA,NA
29,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,"Native","Very Important","Very Important","Essential","Very Important","Fairly Important","Fairly Important","Fairly Important",NA,1,0
73,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Immigrant",NA,NA,NA,NA,NA,NA,NA,38,NA,NA
77,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,"Native","Not Very Important","Very Important","Very Important","Fairly Important","Not Important At All","Not Important At All","Not Important At All",NA,1,1
36,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,"Native","Fairly Important","Very Important","Essential","Fairly Important","Fairly Important","Not Important At All","Fairly Important",NA,0,0
34,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,"Native","Not Very Important","Fairly Important","Fairly Important","Not Very Important","Not Very Important","Not Very Important","Not Very Important",NA,0,0
67,"Native","Not Important At All","Fairly Important","Very Important","Not Very Important","Not Important At All","Not Important At All","Not Important At All",NA,0,0
33,"Native","Very Important","Very Important","Essential","Very Important","Not Important At All","Not Important At All","Not Important At All",NA,1,0
31,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,"Native","Fairly Important","Essential","Essential","Fairly Important","Not Important At All","Not Important At All","Not Important At All",NA,1,0
33,"Native","Essential","Essential","Essential","Not Important At All","Not Important At All","Fairly Important","Not Important At All",NA,1,0
51,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,"Native","Not Very Important","Not Very Important","Essential","Not Very Important","Not Very Important","Not Very Important","Not Very Important",NA,1,0
46,"Native","Essential","Essential","Essential","Fairly Important","Essential","Not Important At All","Not Important At All",NA,1,0
72,"Native","Fairly Important","Very Important","Very Important","Fairly Important","Fairly Important","Not Very Important","Not Very Important",NA,0,0
63,"Native","Not Very Important","Very Important","Essential","Not Very Important","Not Important At All","Not Important At All","Not Important At All",NA,1,0
70,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
