abany,year,class,courts,nateduc,region,born,racehisp,sex,degree,marital,wrkslf
Yes,2014,Upper class,NA,NA,West,Yes,White,Female,Graduate,Married,Someone else
Yes,2014,Middle class,About right,NA,West,Yes,White,Female,Graduate,Married,Someone else
NA,2014,Middle class,Not harsh enough,Too little,West,Yes,Hispanic,Female,High school,Never Married,Someone else
Yes,2014,Middle class,About right,Too little,West,Yes,White,Male,High school,Never Married,Self-employed
Yes,2014,Middle class,Not harsh enough,NA,West,No,White,Male,Lt high school,Married,Self-employed
Yes,2014,Middle class,Not harsh enough,About right,West,No,Other,Female,Graduate,Married,Someone else
Yes,2014,Working class,Not harsh enough,NA,West,No,Other,Female,High school,Married,Someone else
Yes,2014,Middle class,NA,Too little,West,Yes,White,Male,Graduate,Married,Self-employed
No,2014,Upper class,About right,Too little,West,Yes,White,Male,Bachelor,Married,Self-employed
Yes,2014,Middle class,Not harsh enough,Too much,West,Yes,White,Male,Graduate,Div/Sep,Self-employed
Yes,2014,Middle class,NA,NA,West,Yes,White,Male,Bachelor,Married,Self-employed
NA,2014,Middle class,About right,Too little,West,Yes,White,Male,Graduate,Widowed,Someone else
NA,2014,Middle class,Too harsh,Too little,West,Yes,White,Male,Bachelor,Div/Sep,Self-employed
No,2014,Middle class,Not harsh enough,NA,West,No,Other,Female,Graduate,Married,Someone else
Yes,2014,Upper class,About right,About right,West,No,Other,Male,Bachelor,Div/Sep,Someone else
NA,2014,Lower class,About right,NA,West,No,Hispanic,Male,Lt high school,Married,Someone else
No,2014,Middle class,Not harsh enough,NA,West,No,Hispanic,Female,High school,Div/Sep,Someone else
Yes,2014,Working class,Not harsh enough,NA,West,Yes,Black,Female,High school,Div/Sep,Someone else
Yes,2014,Working class,Not harsh enough,Too little,West,Yes,Black,Female,High school,Div/Sep,Someone else
NA,2014,Working class,Not harsh enough,NA,West,No,Hispanic,Female,Junior college,Div/Sep,Someone else
Yes,2014,Working class,Too harsh,Too little,West,Yes,Black,Female,High school,Never Married,Someone else
NA,2014,Middle class,NA,NA,West,No,White,Female,Graduate,Div/Sep,Someone else
Yes,2014,Middle class,Not harsh enough,Too little,West,Yes,White,Female,Bachelor,Never Married,Self-employed
No,2014,Working class,About right,Too little,West,Yes,Black,Female,High school,Married,Someone else
Yes,2014,Working class,Too harsh,Too little,West,Yes,Black,Male,High school,Married,Someone else
No,2014,Middle class,Not harsh enough,Too much,West,Yes,White,Female,High school,Married,Someone else
NA,2014,Working class,About right,NA,West,No,Hispanic,Male,High school,Never Married,Someone else
NA,2014,Middle class,Not harsh enough,NA,West,No,Other,Female,Bachelor,Married,Someone else
Yes,2014,Working class,Not harsh enough,NA,West,Yes,Black,Female,Junior college,Never Married,Someone else
Yes,2014,Middle class,Too harsh,Too little,West,Yes,White,Male,High school,Married,Someone else
Yes,2014,Middle class,About right,Too little,West,Yes,White,Male,High school,Married,Someone else
NA,2014,Working class,Not harsh enough,Too little,West,Yes,Black,Female,Junior college,Never Married,Someone else
Yes,2014,Working class,Not harsh enough,Too little,West,Yes,White,Male,Lt high school,Married,Someone else
NA,2014,Working class,Too harsh,NA,West,Yes,Hispanic,Male,High school,Never Married,NA
No,2014,Working class,Not harsh enough,NA,West,Yes,Hispanic,Male,High school,Never Married,Someone else
NA,2014,Working class,Not harsh enough,Too little,West,Yes,White,Male,High school,Never Married,Someone else
No,2014,Middle class,NA,NA,West,No,Other,Male,High school,Married,Someone else
Yes,2014,Middle class,NA,NA,West,Yes,White,Male,Bachelor,Never Married,Someone else
NA,2014,Middle class,Not harsh enough,NA,West,Yes,Hispanic,Female,Graduate,Never Married,Someone else
NA,2014,Middle class,About right,About right,West,No,Other,Male,Bachelor,Never Married,NA
No,2014,Lower class,Too harsh,Too little,West,No,Hispanic,Female,Lt high school,Never Married,Someone else
No,2014,Middle class,About right,NA,West,No,Other,Male,Graduate,Married,Someone else
Yes,2014,Working class,Not harsh enough,Too little,West,Yes,White,Male,Lt high school,Never Married,Someone else
No,2014,Working class,Not harsh enough,NA,West,Yes,Hispanic,Female,High school,Married,Someone else
Yes,2014,Middle class,About right,NA,West,Yes,White,Female,Bachelor,Never Married,Someone else
Yes,2014,Middle class,NA,Too little,West,Yes,Hispanic,Male,Bachelor,Never Married,Someone else
NA,2014,Middle class,Not harsh enough,NA,West,Yes,White,Female,High school,Married,Someone else
Yes,2014,Upper class,Not harsh enough,Too little,West,Yes,White,Male,Graduate,Married,Self-employed
No,2014,Working class,About right,About right,West,No,Hispanic,Male,High school,Married,Someone else
NA,2014,Working class,NA,About right,West,Yes,White,Male,High school,Widowed,Someone else
Yes,2014,Working class,About right,NA,West,Yes,White,Female,Bachelor,Married,Someone else
NA,2014,Working class,About right,Too little,West,Yes,White,Male,High school,Married,Someone else
NA,2014,Upper class,Not harsh enough,NA,West,Yes,White,Male,Bachelor,Div/Sep,Self-employed
Yes,2014,NA,NA,Too little,West,No,White,Female,Bachelor,Married,Self-employed
Yes,2014,Middle class,About right,Too little,West,Yes,White,Male,Graduate,Married,Someone else
Yes,2014,Middle class,About right,NA,West,Yes,White,Female,Bachelor,Div/Sep,Someone else
Yes,2014,Middle class,Too harsh,Too little,West,Yes,White,Female,Graduate,Div/Sep,Someone else
NA,2014,Middle class,Not harsh enough,NA,West,Yes,White,Female,High school,Married,Someone else
Yes,2014,Middle class,Not harsh enough,NA,West,Yes,White,Male,Bachelor,Div/Sep,Self-employed
No,2014,Working class,Not harsh enough,NA,Midwest,No,Hispanic,Female,Bachelor,Married,Self-employed
Yes,2014,Middle class,NA,NA,Midwest,No,Other,Female,Bachelor,Married,Self-employed
NA,2014,Working class,Too harsh,NA,Midwest,No,Other,Female,High school,Married,Someone else
NA,2014,Middle class,About right,Too little,Midwest,No,White,Female,High school,Div/Sep,Someone else
NA,2014,Middle class,Not harsh enough,NA,Midwest,Yes,White,Female,High school,Married,Someone else
NA,2014,Working class,Not harsh enough,NA,Midwest,Yes,Hispanic,Female,High school,Married,Someone else
NA,2014,Working class,Not harsh enough,Too little,Midwest,Yes,Hispanic,Male,High school,Married,Someone else
Yes,2014,Working class,NA,Too little,Midwest,Yes,White,Female,Bachelor,Married,Someone else
NA,2014,Working class,Not harsh enough,NA,Midwest,No,Hispanic,Male,Junior college,Married,Someone else
No,2014,Middle class,Not harsh enough,NA,Midwest,Yes,White,Female,High school,Married,Someone else
NA,2014,Working class,Not harsh enough,Too little,Midwest,Yes,Black,Male,High school,Widowed,Someone else
No,2014,Working class,About right,NA,Midwest,Yes,White,Male,High school,Married,Someone else
NA,2014,Middle class,About right,NA,Midwest,Yes,White,Female,High school,Div/Sep,Someone else
NA,2014,Middle class,Not harsh enough,Too little,Midwest,No,White,Female,High school,Widowed,Someone else
No,2014,Middle class,Not harsh enough,Too little,Midwest,Yes,White,Female,Bachelor,Married,Someone else
Yes,2014,Upper class,Not harsh enough,NA,Midwest,Yes,White,Female,Bachelor,Married,NA
No,2014,Upper class,Not harsh enough,NA,Midwest,Yes,Black,Male,High school,Div/Sep,Someone else
No,2014,Upper class,Not harsh enough,NA,Midwest,Yes,Black,Female,Lt high school,Div/Sep,Someone else
NA,2014,Working class,Not harsh enough,Too little,Midwest,Yes,Black,Female,High school,Div/Sep,Someone else
NA,2014,Working class,Too harsh,Too little,Midwest,No,Hispanic,Male,Lt high school,Married,Someone else
Yes,2014,Working class,Not harsh enough,Too little,Midwest,Yes,Black,Female,High school,Never Married,Someone else
No,2014,Working class,Too harsh,Too little,Midwest,Yes,Hispanic,Male,High school,Married,Someone else
NA,2014,Lower class,Not harsh enough,About right,Midwest,Yes,Black,Male,High school,Never Married,Someone else
Yes,2014,Middle class,Too harsh,Too little,Midwest,Yes,Black,Female,Bachelor,Div/Sep,Someone else
NA,2014,Working class,Not harsh enough,NA,Midwest,No,Black,Female,Junior college,Married,Someone else
NA,2014,Middle class,Not harsh enough,NA,Midwest,Yes,White,Female,High school,Div/Sep,Someone else
NA,2014,Middle class,NA,NA,Midwest,Yes,White,Female,High school,Married,Someone else
NA,2014,Middle class,Not harsh enough,NA,Midwest,No,Other,Female,Bachelor,Married,Someone else
NA,2014,Middle class,About right,NA,Midwest,Yes,White,Female,Graduate,Married,Someone else
Yes,2014,Middle class,Too harsh,Too little,Midwest,Yes,White,Male,High school,Never Married,Someone else
NA,2014,Middle class,About right,NA,Midwest,Yes,White,Female,High school,Div/Sep,Self-employed
No,2014,Working class,Not harsh enough,NA,Midwest,Yes,White,Female,Bachelor,Married,Someone else
No,2014,Working class,About right,Too little,Midwest,Yes,White,Female,High school,Married,Someone else
No,2014,Middle class,Not harsh enough,Too little,Midwest,Yes,Black,Male,High school,Div/Sep,Someone else
Yes,2014,Middle class,Not harsh enough,About right,Midwest,Yes,White,Male,Bachelor,Married,Someone else
Yes,2014,Middle class,Too harsh,Too little,Midwest,Yes,White,Male,Junior college,Married,Self-employed
Yes,2014,Lower class,Too harsh,NA,Midwest,Yes,Black,Male,High school,Married,Someone else
Yes,2014,Working class,Not harsh enough,Too little,Midwest,Yes,White,Female,Bachelor,Never Married,Someone else
No,2014,Working class,Not harsh enough,NA,Midwest,Yes,Black,Female,High school,Div/Sep,Someone else
No,2014,Middle class,Not harsh enough,Too little,Midwest,Yes,White,Female,Graduate,Married,Someone else
No,2014,Middle class,Not harsh enough,NA,Midwest,Yes,White,Male,High school,Married,Someone else
NA,2014,Middle class,About right,NA,Midwest,Yes,White,Female,Bachelor,Married,Someone else
NA,2014,Working class,Too harsh,NA,Midwest,Yes,Black,Male,High school,Married,Someone else
Yes,2014,Middle class,Not harsh enough,Too little,Midwest,Yes,White,Female,High school,Never Married,Someone else
No,2014,Working class,Too harsh,NA,Midwest,Yes,White,Female,High school,Married,Someone else
No,2014,Working class,Not harsh enough,NA,Midwest,Yes,White,Female,Junior college,Widowed,Someone else
Yes,2014,Middle class,Too harsh,NA,Midwest,Yes,Black,Male,Bachelor,Div/Sep,Someone else
No,2014,Working class,About right,Too little,Midwest,Yes,White,Female,Junior college,Married,Someone else
NA,2014,Lower class,About right,About right,Midwest,Yes,Black,Female,High school,Widowed,Someone else
NA,2014,Working class,Not harsh enough,NA,Midwest,Yes,Black,Female,High school,Married,Someone else
Yes,2014,Middle class,NA,NA,Southeast,Yes,White,Female,Graduate,Married,Self-employed
Yes,2014,Working class,About right,Too little,Southeast,Yes,White,Male,Bachelor,Widowed,Someone else
NA,2014,Working class,Too harsh,About right,Southeast,Yes,Black,Male,High school,Never Married,Someone else
Yes,2014,Middle class,Not harsh enough,NA,Southeast,No,White,Female,High school,Married,Someone else
NA,2014,Middle class,Not harsh enough,Too little,Southeast,Yes,Black,Female,High school,Married,Self-employed
NA,2014,Middle class,Not harsh enough,Too much,Southeast,Yes,White,Female,High school,Never Married,Someone else
NA,2014,Lower class,Not harsh enough,About right,Southeast,Yes,White,Female,Graduate,Widowed,Someone else
NA,2014,Middle class,Not harsh enough,Too little,Southeast,Yes,White,Female,Bachelor,Married,Someone else
No,2014,Middle class,Not harsh enough,About right,Mid Atlantic,Yes,Hispanic,Male,Bachelor,Married,Self-employed
No,2014,Middle class,About right,About right,Mid Atlantic,Yes,White,Male,High school,Married,Someone else
NA,2014,Working class,About right,NA,Mid Atlantic,Yes,White,Male,High school,Div/Sep,Self-employed
NA,2014,Middle class,About right,NA,Mid Atlantic,Yes,White,Female,High school,Married,Someone else
Yes,2014,Middle class,Not harsh enough,NA,Mid Atlantic,No,Other,Male,Bachelor,Married,Someone else
Yes,2014,Upper class,Too harsh,NA,Mid Atlantic,Yes,White,Male,Bachelor,Married,Someone else
NA,2014,Upper class,About right,NA,Mid Atlantic,Yes,White,Female,Bachelor,Married,Someone else
Yes,2014,Middle class,About right,Too little,Mid Atlantic,Yes,White,Female,Bachelor,Married,Someone else
No,2014,Working class,Not harsh enough,Too little,Mid Atlantic,Yes,White,Male,High school,Never Married,Someone else
NA,2014,Middle class,Not harsh enough,About right,Mid Atlantic,Yes,White,Male,Bachelor,Married,Someone else
Yes,2014,Upper class,Not harsh enough,Too much,Mid Atlantic,Yes,White,Female,High school,Married,Someone else
No,2014,Middle class,NA,Too little,Mid Atlantic,Yes,White,Male,Bachelor,Married,Someone else
Yes,2014,Working class,About right,NA,Mid Atlantic,No,Other,Female,Bachelor,Married,NA
Yes,2014,Working class,NA,NA,Mid Atlantic,No,Other,Male,Bachelor,Married,NA
NA,2014,Working class,Too harsh,NA,Mid Atlantic,Yes,White,Female,High school,Never Married,Someone else
No,2014,Working class,Too harsh,Too little,Mid Atlantic,Yes,White,Female,High school,Widowed,Someone else
NA,2014,Middle class,NA,NA,Mid Atlantic,No,Other,Female,Bachelor,Married,Someone else
NA,2014,Middle class,NA,NA,Mid Atlantic,Yes,White,Male,High school,Married,Someone else
NA,2014,Middle class,About right,NA,Mid Atlantic,Yes,White,Female,Junior college,Married,Someone else
Yes,2014,Middle class,Not harsh enough,Too little,Mid Atlantic,Yes,White,Female,Junior college,Married,Someone else
Yes,2014,Working class,Not harsh enough,Too little,Mid Atlantic,Yes,White,Female,High school,Never Married,Someone else
Yes,2014,Middle class,Too harsh,NA,Mid Atlantic,Yes,White,Male,High school,Never Married,Someone else
NA,2014,Middle class,Too harsh,NA,Mid Atlantic,Yes,White,Male,Graduate,Never Married,Someone else
NA,2014,Working class,Not harsh enough,NA,Mid Atlantic,Yes,Black,Female,High school,Widowed,Someone else
Yes,2014,Working class,Not harsh enough,About right,Mid Atlantic,Yes,Black,Female,Lt high school,Widowed,Someone else
No,2014,Lower class,About right,NA,Mid Atlantic,Yes,White,Male,High school,Never Married,Someone else
No,2014,Lower class,Not harsh enough,Too much,Mid Atlantic,Yes,Black,Female,High school,Div/Sep,Someone else
NA,2014,Lower class,Not harsh enough,NA,Mid Atlantic,Yes,Black,Female,High school,Widowed,Someone else
Yes,2014,Working class,About right,NA,Mid Atlantic,Yes,Black,Female,Junior college,Never Married,Someone else
Yes,2014,Lower class,Not harsh enough,Too little,Mid Atlantic,Yes,Black,Female,Lt high school,Div/Sep,Someone else
NA,2014,Middle class,Too harsh,NA,Mid Atlantic,Yes,Black,Male,High school,Never Married,Someone else
NA,2014,Working class,Not harsh enough,Too little,Mid Atlantic,Yes,White,Female,Bachelor,Married,Someone else
Yes,2014,Working class,Too harsh,NA,Mid Atlantic,Yes,White,Female,High school,Never Married,Someone else
NA,2014,Middle class,Not harsh enough,NA,Mid Atlantic,No,White,Female,Lt high school,Married,Someone else
No,2014,Middle class,Not harsh enough,Too little,Mid Atlantic,Yes,White,Female,High school,Widowed,Someone else
No,2014,Middle class,Not harsh enough,NA,Mid Atlantic,Yes,White,Male,High school,Married,Someone else
No,2014,Lower class,Too harsh,NA,Mid Atlantic,Yes,White,Female,High school,Married,Someone else
Yes,2014,Middle class,About right,NA,Mid Atlantic,Yes,Black,Female,Bachelor,Never Married,Someone else
Yes,2014,Working class,Not harsh enough,Too little,Mid Atlantic,Yes,Black,Female,High school,Married,Someone else
Yes,2014,Middle class,Not harsh enough,NA,Mid Atlantic,Yes,White,Female,Graduate,Never Married,Someone else
Yes,2014,Working class,About right,NA,Mid Atlantic,Yes,Black,Female,High school,Never Married,Someone else
NA,2014,Working class,Not harsh enough,NA,Mid Atlantic,Yes,Hispanic,Male,High school,Married,Someone else
NA,2014,Working class,Not harsh enough,NA,Mid Atlantic,Yes,White,Female,High school,Married,Someone else
Yes,2014,Working class,Not harsh enough,Too little,Mid Atlantic,Yes,Hispanic,Male,High school,Div/Sep,Someone else
NA,2014,Working class,Not harsh enough,NA,Mid Atlantic,Yes,White,Male,High school,Married,Someone else
Yes,2014,Working class,NA,Too little,Midwest,Yes,Black,Female,Junior college,Widowed,Someone else
NA,2014,Working class,NA,Too little,Midwest,Yes,Black,Female,High school,Div/Sep,Self-employed
Yes,2014,Middle class,Too harsh,NA,Midwest,Yes,Black,Female,High school,Never Married,Someone else
NA,2014,Middle class,Too harsh,NA,Midwest,Yes,Black,Female,High school,Married,Someone else
NA,2014,Working class,Not harsh enough,NA,Midwest,Yes,Black,Female,High school,Widowed,Someone else
Yes,2014,Working class,Too harsh,Too little,Midwest,Yes,Black,Female,Bachelor,NA,Someone else
Yes,2014,Working class,Too harsh,NA,Midwest,Yes,Black,Male,High school,Never Married,Someone else
NA,2014,Working class,About right,NA,Midwest,Yes,White,Female,High school,Never Married,Someone else
NA,2014,Working class,Not harsh enough,Too little,Midwest,Yes,White,Male,Lt high school,Widowed,Self-employed
NA,2014,Lower class,Too harsh,NA,Midwest,Yes,Black,Female,High school,Never Married,Someone else
No,2014,Working class,Not harsh enough,NA,Midwest,Yes,Black,Female,High school,Married,Someone else
No,2014,Middle class,Too harsh,NA,Midwest,Yes,White,Male,Bachelor,Never Married,Self-employed
NA,2014,Middle class,Too harsh,About right,Midwest,Yes,Black,Male,High school,Never Married,Someone else
Yes,2014,Middle class,Not harsh enough,NA,Midwest,Yes,White,Female,High school,Div/Sep,Someone else
Yes,2014,Working class,Not harsh enough,NA,Midwest,Yes,White,Male,High school,Married,Someone else
NA,2014,Working class,About right,NA,Midwest,Yes,White,Male,High school,Never Married,Someone else
NA,2014,Middle class,About right,NA,Midwest,Yes,White,Female,Bachelor,Never Married,Someone else
No,2014,Middle class,Too harsh,NA,Midwest,Yes,Black,Female,Graduate,Married,Someone else
No,2014,Working class,Not harsh enough,Too little,Midwest,No,Hispanic,Male,High school,Married,Someone else
NA,2014,Working class,Not harsh enough,NA,Midwest,Yes,Hispanic,Male,Lt high school,Married,Someone else
No,2014,Lower class,Not harsh enough,Too little,Midwest,Yes,Hispanic,Female,High school,Div/Sep,Someone else
No,2014,Working class,Too harsh,About right,Midwest,No,Hispanic,Female,High school,Married,Someone else
NA,2014,Working class,About right,NA,Midwest,Yes,Hispanic,Male,High school,Married,Someone else
NA,2014,Working class,Too harsh,NA,Midwest,Yes,Hispanic,Male,High school,Never Married,Someone else
NA,2014,Middle class,Not harsh enough,About right,Midwest,Yes,Hispanic,Female,High school,Never Married,Someone else
Yes,2014,Working class,Not harsh enough,About right,Midwest,Yes,Hispanic,Female,High school,Married,Someone else
NA,2014,Working class,About right,NA,Midwest,Yes,Hispanic,Male,High school,Never Married,Someone else
NA,2014,Working class,About right,NA,Midwest,No,Hispanic,Female,High school,Married,NA
No,2014,Working class,Not harsh enough,Too little,Midwest,No,Hispanic,Male,High school,Div/Sep,Someone else
No,2014,Working class,About right,Too little,Midwest,No,Hispanic,Male,High school,Married,Someone else
NA,2014,Working class,Not harsh enough,NA,Midwest,No,Hispanic,Female,Lt high school,Never Married,Self-employed
No,2014,Middle class,About right,Too little,Midwest,Yes,White,Female,Graduate,Married,Self-employed
NA,2014,Working class,Not harsh enough,About right,Midwest,Yes,White,Female,Junior college,Never Married,Someone else
No,2014,Middle class,Not harsh enough,Too little,Midwest,Yes,White,Female,Graduate,Div/Sep,Self-employed
Yes,2014,Middle class,NA,Too little,Midwest,Yes,Hispanic,Male,Graduate,Div/Sep,Someone else
No,2014,Working class,About right,NA,Midwest,Yes,White,Female,Bachelor,Married,Self-employed
NA,2014,Lower class,NA,NA,Midwest,Yes,White,Female,High school,Married,Someone else
NA,2014,Working class,Not harsh enough,NA,Midwest,Yes,White,Female,High school,Never Married,Someone else
Yes,2014,Working class,Not harsh enough,About right,Midwest,Yes,White,Male,High school,Married,Someone else
NA,2014,Working class,Too harsh,NA,Midwest,Yes,White,Female,High school,Never Married,Someone else
No,2014,Middle class,About right,NA,Midwest,Yes,White,Female,Bachelor,Never Married,Someone else
NA,2014,Working class,NA,NA,Midwest,Yes,White,Male,Bachelor,Married,Someone else
No,2014,Middle class,About right,NA,Midwest,Yes,White,Female,Bachelor,Never Married,Someone else
NA,2014,Working class,About right,Too much,Midwest,Yes,White,Female,Junior college,Married,Someone else
NA,2014,Middle class,About right,Too much,Midwest,Yes,White,Female,Junior college,Married,Someone else
Yes,2014,Working class,Not harsh enough,NA,Southeast,Yes,Black,Male,Graduate,Never Married,Someone else
No,2014,Upper class,Too harsh,NA,Southeast,Yes,Black,Female,High school,Widowed,Someone else
NA,2014,Working class,Not harsh enough,NA,Southeast,Yes,Black,Female,High school,Never Married,Someone else
No,2014,Working class,Not harsh enough,Too little,Southeast,Yes,Black,Female,High school,Never Married,Someone else
No,2014,Working class,Not harsh enough,Too little,Southeast,Yes,White,Male,Junior college,Div/Sep,Someone else
NA,2014,Working class,Not harsh enough,Too little,Southeast,Yes,White,Male,Lt high school,Widowed,Someone else
No,2014,Working class,Not harsh enough,NA,Southeast,Yes,White,Male,High school,Widowed,Someone else
NA,2014,Working class,Not harsh enough,NA,Southeast,Yes,White,Male,Lt high school,Div/Sep,Someone else
Yes,2014,Working class,Not harsh enough,NA,Southeast,Yes,White,Male,High school,Married,Someone else
Yes,2014,Working class,About right,Too little,Southeast,Yes,White,Female,Junior college,Married,Someone else
No,2014,Working class,NA,NA,Southeast,No,Hispanic,Female,Lt high school,Married,Someone else
No,2014,Working class,Not harsh enough,Too little,Southeast,Yes,Hispanic,Female,High school,Married,Self-employed
No,2014,Middle class,Not harsh enough,NA,Southeast,Yes,White,Female,High school,Widowed,Someone else
No,2014,Middle class,Not harsh enough,Too little,Southeast,Yes,Black,Male,Bachelor,Married,Someone else
NA,2014,Working class,NA,NA,Southeast,No,Other,Male,Bachelor,Married,Someone else
NA,2014,Middle class,About right,NA,Southeast,No,Other,Male,Graduate,Never Married,Someone else
No,2014,Working class,Not harsh enough,About right,Southeast,No,Hispanic,Female,Lt high school,Never Married,NA
Yes,2014,Working class,Not harsh enough,Too little,Southeast,Yes,Black,Female,High school,Never Married,Self-employed
Yes,2014,Working class,About right,NA,Southeast,Yes,Black,Male,High school,Never Married,Someone else
NA,2014,Middle class,Not harsh enough,Too little,Southeast,Yes,Black,Female,Bachelor,Never Married,Someone else
Yes,2014,Upper class,Not harsh enough,NA,Southeast,Yes,Black,Female,Lt high school,Married,Someone else
No,2014,Lower class,Not harsh enough,Too little,Southeast,Yes,Black,Male,High school,Div/Sep,Self-employed
No,2014,Working class,About right,NA,Southeast,No,Hispanic,Male,Lt high school,Married,Someone else
Yes,2014,Working class,Too harsh,About right,Southeast,No,Hispanic,Male,Junior college,Never Married,Someone else
Yes,2014,Working class,Not harsh enough,Too little,Southeast,No,Hispanic,Male,Bachelor,Never Married,Someone else
NA,2014,Working class,Not harsh enough,About right,Southeast,Yes,White,Female,Junior college,Never Married,Someone else
No,2014,Working class,About right,NA,Southeast,No,Hispanic,Female,High school,Married,Someone else
Yes,2014,Middle class,About right,Too little,Southeast,No,White,Male,Bachelor,Married,Someone else
Yes,2014,Working class,Not harsh enough,NA,Southeast,Yes,Black,Female,Bachelor,Div/Sep,Someone else
NA,2014,Working class,About right,NA,Southeast,Yes,White,Male,High school,Married,Someone else
Yes,2014,Middle class,Not harsh enough,Too little,Southeast,Yes,White,Male,Bachelor,Married,Someone else
NA,2014,Working class,Too harsh,NA,Southeast,Yes,Black,Female,High school,Never Married,Someone else
Yes,2014,Middle class,Too harsh,Too little,Southeast,Yes,Black,Female,Graduate,Div/Sep,Someone else
NA,2014,Middle class,Not harsh enough,NA,Southeast,Yes,White,Male,Bachelor,Married,Someone else
No,2014,Middle class,Not harsh enough,NA,Southeast,Yes,White,Female,Lt high school,Div/Sep,Someone else
Yes,2014,Middle class,Not harsh enough,NA,Southeast,Yes,White,Female,High school,Married,Someone else
Yes,2014,Working class,Not harsh enough,Too little,Southeast,Yes,White,Female,High school,Married,Someone else
No,2014,Middle class,Not harsh enough,Too little,Southeast,Yes,White,Female,High school,Never Married,Someone else
NA,2014,Working class,Too harsh,NA,Southeast,Yes,White,Female,High school,Div/Sep,Someone else
NA,2014,Working class,Not harsh enough,Too little,Southeast,Yes,White,Female,High school,Married,Someone else
Yes,2014,Working class,Not harsh enough,Too little,Southeast,Yes,Black,Female,Bachelor,Married,Someone else
No,2014,Lower class,NA,NA,Southeast,Yes,Black,Female,Lt high school,Div/Sep,Self-employed
NA,2014,Middle class,Not harsh enough,Too little,Southeast,Yes,Black,Female,High school,Never Married,Someone else
No,2014,Working class,NA,Too little,Southeast,Yes,Black,Female,Graduate,Div/Sep,Someone else
No,2014,Middle class,Too harsh,NA,Southeast,Yes,Hispanic,Male,High school,Married,Someone else
No,2014,Working class,Not harsh enough,NA,Southeast,Yes,Black,Female,Junior college,Div/Sep,Someone else
NA,2014,Middle class,Too harsh,Too little,Southeast,Yes,Black,Female,Lt high school,Widowed,Someone else
No,2014,Working class,Not harsh enough,NA,Southeast,No,Hispanic,Female,Bachelor,Married,Someone else
Yes,2014,Working class,About right,NA,Southeast,No,Hispanic,Male,High school,Married,Someone else
No,2014,Working class,Not harsh enough,NA,Southeast,No,Hispanic,Male,Lt high school,Married,Self-employed
NA,2014,Lower class,NA,Too little,Southeast,Yes,Hispanic,Female,High school,Div/Sep,Someone else
No,2014,Middle class,About right,Too little,Southeast,Yes,White,Female,Graduate,Married,Someone else
Yes,2014,Middle class,About right,About right,Southeast,Yes,Black,Female,High school,Never Married,Someone else
No,2014,Working class,Not harsh enough,NA,Southeast,Yes,Black,Male,Lt high school,Widowed,Someone else
Yes,2014,Lower class,Not harsh enough,NA,Southeast,Yes,Black,Male,High school,Never Married,Someone else
NA,2014,Working class,NA,NA,Southeast,Yes,Black,Female,High school,Never Married,Someone else
No,2014,Working class,Not harsh enough,Too little,Southeast,Yes,Black,Male,High school,Widowed,Someone else
No,2014,Working class,NA,About right,Southeast,Yes,Black,Male,High school,Married,Someone else
No,2014,Middle class,Not harsh enough,NA,Southeast,Yes,Black,Male,High school,Never Married,Someone else
No,2014,Middle class,Not harsh enough,NA,Southeast,No,Hispanic,Female,Lt high school,Div/Sep,Someone else
No,2014,Working class,About right,About right,Southeast,No,Hispanic,Female,Lt high school,Married,Someone else
No,2014,Middle class,Not harsh enough,NA,Southeast,No,Hispanic,Male,High school,Div/Sep,Someone else
Yes,2014,Middle class,Not harsh enough,NA,Southeast,No,Hispanic,Female,High school,Div/Sep,Someone else
No,2014,Working class,Too harsh,NA,Southeast,No,Hispanic,Female,High school,Widowed,Someone else
No,2014,Working class,About right,About right,Southeast,No,Hispanic,Female,High school,Div/Sep,Someone else
No,2014,Working class,About right,NA,Southeast,No,Hispanic,Male,High school,Married,Someone else
No,2014,Middle class,Not harsh enough,Too little,Southeast,No,Black,Male,High school,Married,Someone else
Yes,2014,Working class,Not harsh enough,NA,Southeast,No,Hispanic,Female,High school,Married,NA
No,2014,Middle class,Too harsh,Too little,Southeast,Yes,Black,Female,Bachelor,Widowed,Someone else
No,2014,Middle class,Not harsh enough,Too much,Southeast,No,White,Male,Graduate,Married,Self-employed
NA,2014,Middle class,About right,Too little,Southeast,No,Hispanic,Male,Graduate,Never Married,Someone else
Yes,2014,Middle class,Not harsh enough,NA,Southeast,No,Hispanic,Male,Graduate,Married,Someone else
NA,2014,Middle class,Not harsh enough,About right,Southeast,Yes,White,Male,Graduate,Never Married,Someone else
NA,2014,Working class,About right,NA,Southeast,Yes,White,Female,Bachelor,Married,Someone else
NA,2014,Upper class,Too harsh,NA,Southeast,Yes,White,Female,High school,Married,Someone else
No,2014,Middle class,About right,About right,Southeast,Yes,White,Female,High school,Widowed,Self-employed
Yes,2014,Working class,NA,NA,Southeast,No,Black,Female,Junior college,Never Married,Someone else
NA,2014,Working class,Not harsh enough,About right,Southeast,No,Hispanic,Male,High school,Div/Sep,Self-employed
NA,2014,Working class,NA,NA,Southeast,Yes,White,Male,High school,Married,Someone else
No,2014,Lower class,Not harsh enough,NA,Southeast,Yes,Black,Female,High school,Never Married,NA
Yes,2014,Working class,Too harsh,NA,Southeast,No,Hispanic,Male,High school,Never Married,Someone else
Yes,2014,Working class,Not harsh enough,NA,Southeast,Yes,White,Male,High school,Div/Sep,Self-employed
